MAT-0   
MAT-102   -558.88144 2867.698615
MAT-103   4500.14820 18733.868128
MAT-104   -4795.97630 27299.778619
MAT-105   3.22511 0.019799
MAT-106   3.24242 0.048213
MAT-107   -5236.23753 25620.659665
MAT-108   3.22958 0.002346
MAT-109   1786.05107 5919.774087
MAT-110   3.34102 0.270141
MAT-111   2.86563 1.634341
MAT-112   3.22827 0.007309
MAT-113   -4293.54178 17403.346653
MAT-114   3.25390 0.094032
MAT-115   -nan nan
MAT-116   3.23133 0.006853
MAT-117   1181.20880 3059.617506
MAT-118   -5534.41666 23814.452165
MAT-119   3.23404 0.014021
MAT-800   -nan nan
MAT-801   567.36002 2663.557942
MAT-802   3.56522 1.341084
MAT-803   -nan nan
MAT-804   2712.45488 13546.476412
MAT-805   1030.93243 4153.857458
MAT-806   -nan nan
MAT-807   -535.01015 1805.403464
MAT-808   3.25624 0.059171
MAT-809   3.63173 1.338461
MAT-810   3.23062 0.021247
MAT-811   -nan nan
MAT-812   3.23008 0.001267
MAT-813   3.25909 0.111932
MAT-814   1472.24707 4287.596662
MAT-815   -218.87313 1273.623165
MAT-816   3.23192 0.006589
MAT-817   3.23192 0.006589
MAT-818   -2084.90230 15565.452836
MAT-819   -28.74172 7020.060010
MAT-820   2676.73039 10071.012521
MAT-821   805.41172 1398.342366
MAT-822   -nan nan
MAT-823   3.23447 0.008799
MAT-824   -17.54719 1379.425822
MAT-825   4.86504 2.743446
MAT-826   3.23011 0.001819
MAT-827   -7982.90644 38230.185477
MAT-828   9576.97341 27700.478285
MAT-829   2400.04384 4147.329528
MAT-830   -nan nan
MAT-831   3.22957 0.001269
MAT-832   3.22957 0.001269
MAT-833   -nan nan
MAT-834   -nan nan
MAT-835   -nan nan
MAT-836   3.24250 0.059384
MAT-837   3.23009 0.001239
MAT-838   -nan nan
MAT-839   431.11790 2930.736855
MAT-840   1140.99299 4419.272389
MAT-841   3.57111 0.519792
MAT-842   615.14038 2466.822871
MAT-843   -nan nan
MAT-844   -736.00269 5795.509474
MAT-845   3.23058 0.002219
MAT-846   3.23121 0.004350
MAT-847   -6581.61411 28457.470549
MAT-848   -5723.30885 16878.760219
MAT-849   391.71285 1135.467401
MAT-850   3.23062 0.021247
MAT-851   3.23135 0.004068
MAT-852   -nan nan
MAT-853   5601.79009 22925.951497
MAT-854   -nan nan
MAT-855   3.23050 0.001496
MAT-856   3.23192 0.006589
MAT-857   3.23192 0.006589
MAT-858   3.25586 0.102752
MAT-859   -nan nan
MAT-860   3.34222 0.451215
